<ObjectType>;<ObjectID>;<ConduitType>;<Postion>;<Color/Type>;<CableID>;<CableLenght[m]>
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:M-001500.1<-->MFG-001920.1(1);111
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-001684.1<-->MFG-001920.1(1);111
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0107;-;0;Handhole;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;1;RED;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002714.1<-->MFG-001920.1(1);247
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:M-001500.1<-->MFG-001920.1(1);247
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-001684.1<-->MFG-001920.1(1);247
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0079;-;0;Handhole;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;1;RED;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002714.1<-->MFG-001920.1(1);223
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-001684.1<-->MFG-001920.1(1);223
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;*[DctP]:FP-000435;-;0;Fitting Point;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;1;RED;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-001684.1<-->MFG-001920.1(1);213
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0082;-;0;Handhole;;0
Empty;;-;0;;;0
Node;*[DctP]:FP-000435;-;0;Fitting Point;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-02;SRV-G 7 x 16x2.0;1;RED;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-02;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002714.1<-->MFG-001920.1(1);16
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-02;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-02;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-02;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-02;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0082-AVt.KL.0002-02;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0109;-;0;Handhole;;0
Empty;;-;0;;;0
Node;AVt.KL.0006;-;0;MFG18-Sockel;;0
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:M-002832.1<-->MFG-002716.1(1);62
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-001941.1<-->MFG-002716.1(1);62
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;*[DctP]:FP-001958;-;0;Fitting Point;;0
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-01;SRV-G 7 x 16x2.0;1;RED;;0
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-001941.1<-->MFG-002716.1(1);11
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0083;-;0;Handhole;;0
Empty;;-;0;;;0
Node;*[DctP]:FP-001958;-;0;Fitting Point;;0
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-02;SRV-G 7 x 16x2.0;1;RED;*[CabL]:M-002832.1<-->MFG-002716.1(1);5
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-02;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-02;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-02;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-02;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-02;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0083-AVt.KL.0006-02;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0112;-;0;Handhole;;0
Empty;;-;0;;;0
Node;AVt.KL.0004;-;0;MFG18-Sockel;;0
ConduitLink;VL-KSch.KL.0090-AVt.KL.0004-02;SRV-G 7 x 16x2.0;1;RED;*[CabL]:M-002201.1<-->MFG-002118.1(1);196
ConduitLink;VL-KSch.KL.0090-AVt.KL.0004-02;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002178.1<-->MFG-002118.1(1);196
ConduitLink;VL-KSch.KL.0090-AVt.KL.0004-02;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0090-AVt.KL.0004-02;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-KSch.KL.0090-AVt.KL.0004-02;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-KSch.KL.0090-AVt.KL.0004-02;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0090-AVt.KL.0004-02;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0089;-;0;Handhole;;0
ConduitLink;VL-KSch.KL.0090-AVt.KL.0004-02;SRV-G 7 x 16x2.0;1;RED;*[CabL]:M-002201.1<-->MFG-002118.1(1);158
ConduitLink;VL-KSch.KL.0090-AVt.KL.0004-02;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-KSch.KL.0090-AVt.KL.0004-02;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0090-AVt.KL.0004-02;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-KSch.KL.0090-AVt.KL.0004-02;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-KSch.KL.0090-AVt.KL.0004-02;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0090-AVt.KL.0004-02;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0090;-;0;Handhole;;0
Empty;;-;0;;;0
Node;AVt.KL.0004;-;0;MFG18-Sockel;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:M-002825.1<-->MFG-002118.1(1);231
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002376.1<-->MFG-002118.1(1);231
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:M-002374.1<-->MFG-002118.1(1);231
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-002410.1<-->MFG-002118.1(1);231
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;5;WHITE;*[CabL]:M-002418.1<-->MFG-002118.1(1);231
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;*[DctP]:FP-002423;-;0;Fitting Point;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:M-002825.1<-->MFG-002118.1(1);79
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002376.1<-->MFG-002118.1(1);79
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-002410.1<-->MFG-002118.1(1);79
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;5;WHITE;*[CabL]:M-002418.1<-->MFG-002118.1(1);79
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;*[DctP]:FP-002315;-;0;Fitting Point;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:M-002825.1<-->MFG-002118.1(1);185
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-002410.1<-->MFG-002118.1(1);185
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;5;WHITE;*[CabL]:M-002418.1<-->MFG-002118.1(1);185
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0111;-;0;Handhole;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;1;RED;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-002410.1<-->MFG-002118.1(1);283
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;5;WHITE;*[CabL]:M-002418.1<-->MFG-002118.1(1);283
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0094;-;0;Handhole;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;1;RED;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-002410.1<-->MFG-002118.1(1);257
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0093-AVt.KL.0004-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0093;-;0;Handhole;;0
Empty;;-;0;;;0
Node;*[DctP]:FP-002315;-;0;Fitting Point;;0
